clusters_sub	cell_types
ASGR1pos315_2_169	11	Hepatocytes
ASGR1pos315_2_180	14	Hepatocytes
ASGR1pos315_2_181	11	Hepatocytes
ASGR1pos315_2_184	14	Hepatocytes
ASGR1pos315_3_6	14	Hepatocytes
ASGR1pos315_3_29	11	Hepatocytes
ASGR1pos315_3_33	14	Hepatocytes
ASGR1pos315_3_36	11	Hepatocytes
ASGR1pos315_3_41	14	Hepatocytes
ASGR1pos315_3_48	14	Hepatocytes
ASGR1pos315_3_53	14	Hepatocytes
ASGR1pos315_3_81	14	Hepatocytes
ASGR1pos315_3_92	14	Hepatocytes
ASGR1pos315_4_109	14	Hepatocytes
ASGR1pos315_4_119	14	Hepatocytes
ASGR1pos315_4_122	14	Hepatocytes
ASGR1pos315_4_143	14	Hepatocytes
ASGR1pos315_4_148	11	Hepatocytes
ASGR1pos315_4_158	13	LSEC
ASGR1pos315_4_159	14	Hepatocytes
ASGR1pos315_4_166	14	Hepatocytes
ASGR1pos325_1_3	11	Hepatocytes
ASGR1pos325_1_6	14	Hepatocytes
ASGR1pos325_1_7	11	Hepatocytes
ASGR1pos325_1_10	11	Hepatocytes
ASGR1pos325_1_11	11	Hepatocytes
ASGR1pos325_1_12	14	Hepatocytes
ASGR1pos325_1_15	14	Hepatocytes
ASGR1pos325_1_16	4	EPCAM+
ASGR1pos325_1_21	14	Hepatocytes
ASGR1pos325_1_22	14	Hepatocytes
ASGR1pos325_1_23	14	Hepatocytes
ASGR1pos325_1_28	11	Hepatocytes
ASGR1pos325_1_34	11	Hepatocytes
ASGR1pos325_1_37	11	Hepatocytes
ASGR1pos325_1_39	11	Hepatocytes
ASGR1pos325_1_40	11	Hepatocytes
ASGR1pos325_1_41	11	Hepatocytes
ASGR1pos325_1_43	14	Hepatocytes
ASGR1pos325_1_45	11	Hepatocytes
ASGR1pos325_1_54	11	Hepatocytes
ASGR1pos325_1_55	11	Hepatocytes
ASGR1pos325_1_60	14	Hepatocytes
ASGR1pos325_1_61	14	Hepatocytes
ASGR1pos325_1_66	14	Hepatocytes
ASGR1pos325_1_70	11	Hepatocytes
ASGR1pos325_1_71	11	Hepatocytes
ASGR1pos325_1_74	11	Hepatocytes
ASGR1pos325_1_78	11	Hepatocytes
ASGR1pos325_1_79	11	Hepatocytes
ASGR1pos325_1_81	14	Hepatocytes
ASGR1pos325_1_83	11	Hepatocytes
ASGR1pos325_1_84	11	Hepatocytes
